thumbDist, fingerDist, time
0.0712762,0.1659297,15.88686
0.0712762,0.1659297,15.90345
0.1201856,0.1563076,15.91999
0.1201856,0.1563076,15.9366
0.1151626,0.1440894,15.9534
0.1151626,0.1440894,15.96973
0.115858,0.1384915,15.98626
0.115858,0.1384915,16.00319
0.1091733,0.1408471,16.01964
0.1091733,0.1408471,16.03601
0.09912107,0.1315398,16.05254
0.09811768,0.1103125,16.06942
0.09748457,0.1179571,16.08566
0.09748457,0.1179571,16.10226
0.09728158,0.1191405,16.11882
0.09728158,0.1191405,16.13568
0.08732186,0.1174804,16.15233
0.08732186,0.1174804,16.16853
0.09898763,0.1159836,16.18561
0.09898763,0.1159836,16.20228
0.08666109,0.1194005,16.21821
0.08666109,0.1194005,16.23487
0.09000993,0.1184056,16.25132
0.09000993,0.1184056,16.26794
0.0799023,0.1232675,16.28445
0.0799023,0.1232675,16.30111
0.0799023,0.1232675,16.31766
0.08557071,0.1263074,16.33423
0.07917225,0.1203202,16.35087
0.07917225,0.1203202,16.36734
0.09876541,0.126885,16.38389
0.09876541,0.126885,16.40058
0.1190842,0.1275223,16.41699
0.1190842,0.1275223,16.43398
0.1035217,0.1295076,16.45013
0.1035217,0.1295076,16.46671
0.1035217,0.1295076,16.48344
0.1162806,0.141036,16.49985
0.1162806,0.141036,16.5166
0.1209222,0.1565074,16.53304
